Altium Designer Pick and Place Locations
E:\Documents\Balancing-Robot\AltiumProject\ControlBoard\OUTPUT\Gerber+Drill\Pick Place for ControlBoardV6.2.csv

========================================================================================================================
File Design Information:

Date:       15/01/22
Time:       20:40
Revision:   e572f4ad504f9f2f3aecb240a5ba9e3ea76caf83
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R1","4k7","TopLayer","RESC1608X55X30NL15T15","2090.000","860.000","180","Precision Thick Film Chip Resistor, 4.7 KOhm, +/- 1%, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"R2","4k7","TopLayer","RESC1608X55X30NL15T15","1820.472","860.000","0","Precision Thick Film Chip Resistor, 4.7 KOhm, +/- 1%, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"TP2","Test point","TopLayer","TestPoint","2450.000","870.000","90",""
"TP4","Test point","TopLayer","TestPoint","1920.000","860.000","90",""
"TP5","Test point","TopLayer","TestPoint","2000.000","860.000","90",""
"TP7","Test point","TopLayer","TestPoint","2430.000","1420.000","90",""
"TP6","Test point","TopLayer","TestPoint","2430.000","1500.000","90",""
"TP1","Test point","TopLayer","TestPoint","1530.000","1584.586","90",""
"TP10","Test point","BottomLayer","TestPoint","840.000","1400.000","90",""
"TP8","Test point","TopLayer","TestPoint","3220.000","1320.000","90",""
"TP9","Test point","TopLayer","TestPoint","2720.000","1480.000","90",""
"TP3","Test point","TopLayer","TestPoint","1530.000","1500.000","90",""
"TP11","Test point","BottomLayer","TestPoint","1020.000","1360.000","90",""
"TP12","Test point","BottomLayer","TestPoint","610.000","1500.000","90",""
"J4","PIN HEADER 2x1","TopLayer","M20-9950245","460.000","1690.000","0","M20-9950245 Pin Connector"
"U4","LM1117IMP-3.3/NOPB","BottomLayer","DCY0004A_N","830.000","1650.000","0","800mA Low-Dropout Linear Regulator, 4-pin SOT-223, Pb-Free"
"U3","A4988","TopLayer","A4988","3520.000","800.000","0","Pololu A4988 Stepper Motor Driver Carrier"
"U2","A4988","TopLayer","A4988","420.000","800.000","0","Pololu A4988 Stepper Motor Driver Carrier"
"U1","CH340C","TopLayer","SOIC127P600X180-16N","2970.000","1280.000","270","USB to serial chip CH340"
"SW2","FSMSMTR","TopLayer","TECO-FSMSMTR_V","1400.000","1840.000","180","FSMSM Push Button Switch, 50 mA, -35 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
"SW1","FSMSMTR","TopLayer","TECO-FSMSMTR_V","2597.952","1840.000","0","FSMSM Push Button Switch, 50 mA, -35 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
"R11","470","TopLayer","RES_0603_1608","1460.000","1730.000","0","RES 470 OHM 5% 1/10W 0603"
"R10","470","TopLayer","RES_0603_1608","2540.000","1720.000","180","RES 470 OHM 5% 1/10W 0603"
"R9","470","TopLayer","RES_0603_1608","2330.000","740.000","0","RES 470 OHM 5% 1/10W 0603"
